ID1;HHID;NRO_ORDEN_ID;QH30M;QH31M;QH32M_M;QH32M_Y;QH33M
2022;      000611901;1;1;80;5;2021; 
2022;      000705401;1;2;14;6;2021;4
2022;      000909301;1;2;80;1;2022; 
2022;      000910301;1;1;31;9;2019; 
2022;      001108201;1;1;40;12;2021; 
2022;      001304601;1;2;43;5;2017;4
2022;      001513101;1;1;38;11;2019; 
2022;      001804501;1;1;82;9;2021; 
2022;      001806801;1;1;41;11;2021; 
2022;      002004101;1;1;85;5;2020; 
2022;      002013801;1;1;70;3;2017; 
2022;      002301201;1;2;61;11;2018; 
2022;      003001601;1;1;15;5;2022; 
2022;      003017701;1;2;47;5;2018;4
2022;      003705101;1;1;58;5;2021; 
2022;      003803601;1;1;50;2;2021; 
2022;      003902201;1;1;82;3;2021; 
2022;      003905201;1;1;85;5;2019; 
2022;      004208701;1;2;91;8;2021; 
2022;      004404901;1;1;62;4;2017; 
2022;      004503601;1;1;42;7;2019; 
2022;      004901801;1;1;82;9;2021; 
2022;      004905601;1;2;70;11;2021; 
2022;      005309101;1;1;16;6;2021; 
2022;      005400201;1;2;101;2;2022; 
2022;      005406401;1;1;45;11;2017; 
2022;      005812701;1;1;85;10;2020; 
2022;      006102501;1;2;61;12;2020; 
2022;      006102501;2;1;62;5;2021; 
2022;      006112301;1;2;84;4;2019; 
2022;      006306901;1;2;65;5;2020; 
2022;      006500101;1;1;85;11;2020; 
2022;      006507801;1;1;75;2;2020; 
2022;      006700301;1;1;59;1;2022; 
2022;      006905101;1;2;70;11;2020; 
2022;      007211301;1;2;44;1;2018;4
2022;      007511101;1;1;50;4;2021; 
2022;      007703001;1;2;40;4;2020;4
2022;      007812701;1;2;86;9;2021; 
2022;      008806001;1;2;70;10;2020; 
2022;      009204901;1;2;87;7;2021; 
2022;      009301901;1;1;69;10;2020; 
2022;      009805801;1;2;83;2;2018; 
2022;      010000901;1;1;20;1;2019; 
2022;      010002701;1;1;102;5;2021; 
2022;      010005801;1;2;86;4;2017; 
2022;      010005901;1;2;75;1;2019; 
2022;      010108601;1;2;83;2;2018; 
2022;      010303901;1;1;72;1;2019; 
2022;      010303901;2;2;105;2;2019; 
2022;      010304901;1;2;5;11;2021; 
2022;      010306501;1;2;82;10;2017; 
2022;      010306601;1;2;84;8;2021; 
2022;      010306901;1;1;72;10;2019; 
2022;      010710801;1;2;63;12;2018; 
2022;      010900401;1;1;66;5;2020; 
2022;      011002901;1;1;72;11;2017; 
2022;      011203401;1;2;61;9;2021; 
2022;      011204401;1;1;59;5;2018; 
2022;      011302901;1;2;89;7;2021; 
2022;      011710801;1;1;74;5;2021; 
2022;      012610501;1;2;75;5;2020; 
2022;      013105401;1;2;90;11;2021; 
2022;      013601701;1;2;80;8;2019; 
2022;      013601701;2;1;85;3;2021; 
2022;      013701101;1;2;13;6;2021;4
2022;      014104101;1;2;84;12;2021; 
2022;      014304501;1;1;68;10;2020; 
2022;      014800101;1;1;46;2;2021; 
2022;      014809901;1;2;70;6;2021; 
2022;      014905201;1;1;55;9;2017; 
2022;      014906101;1;2;62;5;2017; 
2022;      014907001;1;1;84;10;2021; 
2022;      015205801;1;2;42;8;2018;4
2022;      015315001;1;2;77;4;2021; 
2022;      015405801;1;1;57;2;2022; 
2022;      015405901;1;1;58;7;2018; 
2022;      015509101;1;1;35;5;2017; 
2022;      015708901;1;1;93;11;2021; 
2022;      015711101;1;1;54;3;2022; 
2022;      016201901;1;2;80;3;2021; 
2022;      016202101;1;1;89;11;2021; 
2022;      016210901;1;1;72;11;2021; 
2022;      016306601;1;1;60;1;2021; 
2022;      016504501;1;1;51;11;2021; 
2022;      016601401;1;2;88;4;2017; 
2022;      016608601;1;2;70;8;2020; 
2022;      016700701;1;1;48;3;2017; 
2022;      016813401;1;2;81;2;2018; 
2022;      016901101;1;1;63;6;2021; 
2022;      016902301;1;2;92;5;2018; 
2022;      016910601;1;1;95;2;2022; 
2022;      017407301;1;1;73;4;2019; 
2022;      017907801;1;1;50;10;2018; 
2022;      018201501;1;2;52;6;2021; 
2022;      018209801;1;2;37;7;2020;4
2022;      018602901;1;1;87;2;2019; 
2022;      018707401;1;1;70;7;2020; 
2022;      018709201;1;2;65;10;2021; 
2022;      018801701;1;2;94;11;2019; 
2022;      018902301;1;1;86;6;2019; 
2022;      019209401;1;1;22;9;2021; 
2022;      019703401;1;1;93;5;2021; 
2022;      019706701;1;2;63;8;2018; 
2022;      019907901;1;1;65;7;2021; 
2022;      020205701;1;2;73;1;2017; 
2022;      020306801;1;1;78;2;2021; 
